# SGMC efficiency summary
# nProtons per variant: 100
# Scan dimensions: beamSpotHist x threshold x stoppingFile x DeIndex
# central value is the median across variants
# lower / upper are the min / max efficiency across variants
# errors are 1-sigma statistical, = efficiency / sqrt(h6)

============================================================
Proton energy: 0.2501 MeV (250 keV)
  Total energy deposited : 24.9887 MeV
  Expected electrons     : 9618.0379  (from E/W)
  Summed electrons       : 961166
  Variants evaluated     : 81
  Central (median) : eff = 1.0000 +/- 0.1000   [beamSpot=BeamSpot_1, threshold=192, stoppingFile=data/stoppingPower104percent.txt, DeIdx=0, h6=100]
  Lower  (min)     : eff = 0.9800 +/- 0.0990   [beamSpot=BeamSpot_2, threshold=192, stoppingFile=data/stoppingPower104percent.txt, DeIdx=2, h6=98]
  Upper  (max)     : eff = 1.0000 +/- 0.1000   [beamSpot=BeamSpot_2, threshold=769, stoppingFile=data/protonStoppingPower808TorrP10gas.txt, DeIdx=1, h6=100]

  All variants:
    beamSpotHist              threshold stoppingFile                                DeIdx       h6        eff       dEff
    BeamSpot_1                      769 data/protonStoppingPower808TorrP10gas.txt        0       90     0.9000     0.0949
    BeamSpot_1                      192 data/protonStoppingPower808TorrP10gas.txt        1       79     0.7900     0.0889
    BeamSpot_1                      385 data/protonStoppingPower808TorrP10gas.txt        1       84     0.8400     0.0917
    BeamSpot_1                      769 data/protonStoppingPower808TorrP10gas.txt        1       88     0.8800     0.0938
    BeamSpot_1                      192 data/protonStoppingPower808TorrP10gas.txt        2       78     0.7800     0.0883
    BeamSpot_1                      385 data/protonStoppingPower808TorrP10gas.txt        2       82     0.8200     0.0906
    BeamSpot_1                      769 data/protonStoppingPower808TorrP10gas.txt        2       83     0.8300     0.0911
    BeamSpot_2                      192 data/protonStoppingPower808TorrP10gas.txt        0       75     0.7500     0.0866
    BeamSpot_2                      385 data/protonStoppingPower808TorrP10gas.txt        0       77     0.7700     0.0877
    BeamSpot_2                      769 data/protonStoppingPower808TorrP10gas.txt        0       81     0.8100     0.0900
    BeamSpot_2                      192 data/protonStoppingPower808TorrP10gas.txt        1       77     0.7700     0.0877
    BeamSpot_2                      385 data/protonStoppingPower808TorrP10gas.txt        1       78     0.7800     0.0883
    BeamSpot_2                      769 data/protonStoppingPower808TorrP10gas.txt        1       82     0.8200     0.0906
    BeamSpot_2                      192 data/protonStoppingPower808TorrP10gas.txt        2       75     0.7500     0.0866
