# SGMC efficiency summary
# nProtons per variant: 100
# Scan dimensions: beamSpotHist x threshold x stoppingFile x DeIndex
# central value is the median across variants
# lower / upper are the min / max efficiency across variants
# errors are 1-sigma statistical, = efficiency / sqrt(h6)

============================================================
Proton energy: 0.2500 MeV (250 keV)
  Total energy deposited : 24.9847 MeV
  Expected electrons     : 9615.3846  (from E/W)
  Summed electrons       : 961166
  Variants evaluated     : 81
  Central (median) : eff = 1.0000 +/- 0.1000   [beamSpot=BeamSpot_0, threshold=769, stoppingFile=data/stoppingPower104percent.txt, DeIdx=2, h6=100]
  Lower  (min)     : eff = 0.9800 +/- 0.0990   [beamSpot=BeamSpot_2, threshold=192, stoppingFile=data/protonStoppingPower808TorrP10gas.txt, DeIdx=2, h6=98]
  Upper  (max)     : eff = 1.0000 +/- 0.1000   [beamSpot=BeamSpot_2, threshold=385, stoppingFile=data/protonStoppingPower808TorrP10gas.txt, DeIdx=1, h6=100]

  All variants:
    beamSpotHist              threshold stoppingFile                                DeIdx       h6        eff       dEff
    BeamSpot_2                      192 data/stoppingPower96percent.txt                 2       66     0.6600     0.0812
    BeamSpot_2                      385 data/stoppingPower96percent.txt                 2       68     0.6800     0.0825
    BeamSpot_2                      769 data/stoppingPower96percent.txt                 2       71     0.7100     0.0843
    BeamSpot_0                      192 data/stoppingPower104percent.txt                0       69     0.6900     0.0831
    BeamSpot_0                      385 data/stoppingPower104percent.txt                0       74     0.7400     0.0860
    BeamSpot_0                      769 data/stoppingPower104percent.txt                0       77     0.7700     0.0877
    BeamSpot_0                      192 data/stoppingPower104percent.txt                1       76     0.7600     0.0872
    BeamSpot_0                      385 data/stoppingPower104percent.txt                1       78     0.7800     0.0883
    BeamSpot_0                      769 data/stoppingPower104percent.txt                1       84     0.8400     0.0917
    BeamSpot_0                      192 data/stoppingPower104percent.txt                2       69     0.6900     0.0831
    BeamSpot_0                      385 data/stoppingPower104percent.txt                2       72     0.7200     0.0849
    BeamSpot_0                      769 data/stoppingPower104percent.txt                2       80     0.8000     0.0894
    BeamSpot_1                      192 data/stoppingPower104percent.txt                0       84     0.8400     0.0917
    BeamSpot_1                      385 data/stoppingPower104percent.txt                0       84     0.8400     0.0917
    BeamSpot_1                      769 data/stoppingPower104percent.txt                0       87     0.8700     0.0933
    BeamSpot_1                      192 data/stoppingPower104percent.txt                1       87     0.8700     0.0933
    BeamSpot_1                      385 data/stoppingPower104percent.txt                1       89     0.8900     0.0943
    BeamSpot_1                      769 data/stoppingPower104percent.txt                1       95     0.9500     0.0975
    BeamSpot_1                      192 data/stoppingPower104percent.txt                2       85     0.8500     0.0922
    BeamSpot_1                      385 data/stoppingPower104percent.txt                2       89     0.8900     0.0943
    BeamSpot_1                      769 data/stoppingPower104percent.txt                2       92     0.9200     0.0959
    BeamSpot_2                      192 data/stoppingPower104percent.txt                0       75     0.7500     0.0866
    BeamSpot_2                      385 data/stoppingPower104percent.txt                0       76     0.7600     0.0872
    BeamSpot_2                      769 data/stoppingPower104percent.txt                0       81     0.8100     0.0900
    BeamSpot_2                      192 data/stoppingPower104percent.txt                1       76     0.7600     0.0872
    BeamSpot_2                      385 data/stoppingPower104percent.txt                1       79     0.7900     0.0889
    BeamSpot_2                      769 data/stoppingPower104percent.txt                1       79     0.7900     0.0889
    BeamSpot_2                      192 data/stoppingPower104percent.txt                2       70     0.7000     0.0837
    BeamSpot_2                      385 data/stoppingPower104percent.txt                2       74     0.7400     0.0860
    BeamSpot_2                      769 data/stoppingPower104percent.txt                2       76     0.7600     0.0872

